Остролодочник Варлакова                         
Секуригера пестрая                              
Термопсис сибирский                             
Клевер средний                                  
Клевер луговой                                  
Горошек красивый                                
Горошек байкальский                             
Горошек мышиный                                 
Горошек жилковатый                              
Горошек ольхонский                              
Горошек заборный                                
Горошек однопарный                              
Горошек жилковый                                
Журавельник цикутовый                           
Журавельник Стефана                             
Герань волосистотычинковая                      
Герань Крылова                                  
Герань луговая                                  
Герань сибирская                                
Герань Власова                                  
Кисличка обыкновенная                           
Лен многолетний                                 
Лен сибирский                                   
Цельнолистник даурский                          
Истод гибридный                                 
Истод сибирский                                 
Истод тонколистный                              
Молочай двуцветный                              
Молочай острый                                  
Молочай енисейский                              
Молочай Маака                                   
Молочай лозный                                  
Болотник обоеполый                              
Болотник обыкновенный                           
Шикша, водяника черная                          
Бальзамин железконосный, недотрога железконосная
Бальзамин обыкновенный, недотрога желтая        
Мальва мавританская                             
Мальва могилевская                              
Мальва низкая                                   
Зверобой большой                                
Зверобой оттянутый                              
Повойничек водноперечный                        
Мирикария длиннолистная                         
Фиалка приостренная                             
Фиалка Александрова                             
Фиалка алтайская                                
Фиалка скальная                                 
Фиалка двуцветковая                             
Фиалка короткошпорцевая                         
Фиалка собачья                                  
Фиалка холмовая                                 
Фиалка пальчатая                                
Фиалка рассеченная                              
Фиалка ползучая                                 
Фиалка Гмелина                                  
Фиалка иркутская                                
Фиалка Морица                                   
Фиалка удивительная                             
Фиалка Патрэна                                  
Фиалка сахалинская                              
Фиалка Селькирка                                
Волчник обыкновенный                            
Облепиха крушиновидная                          
Иван-чай широколистный                          
Цирцея альпийская                               
Цирцея стеблевая                                
Кипрей даурский                                 
Кипрей пучковато-ветвистый                      
Кипрей болотный                                 
Уруть колосистая                                
Уруть мутовчатая                                
Хвостник обыкновенный, водяная сосенка          
Cныть альпийская                                
Дудник низбегающий                              
Дудник скальный                                 
Дудник лесной                                   
Дудник тонколистный                             
Купырь лесной                                   
Володушка двустебельная                         
Володушка золотистая                            
Володушка козелецелистная                       
Володушка сибирская                             
Володушка трехлучевая                           
Тмин бурятский                                  
Тмин обыкновенный                               
Вех ядовитый                                    
Гирча даурская                                  
Гирча Моннье                                    
Гирчовник татарский                             
Феруловидка щетинистая                          
Борщевик рассеченный                            
Борщевик сибирский                              
Кадения сомнительная                            
Кадения солончаковая                            
Китагавия байкальская                           
Каменнозоннтичник многостебельный               
Пастернак лесной                                
Горичник опушенный                              
Горичник влагалищный                            
Вздутоплодный сибирский                         
Вздутоплодный волосистый                        
Бедренец камнеломковый                          
Реброплодник уральский                          
Шульция косматая                                
Жабрица густоцветковая                          
Поручейник привлекательный                      
Обманчивоплодник тонкий                         
Свида белая                                     
Одноцветка одноцветковая                        
Ортилия однобокая                               
Грушанка копытолистная                          
Грушанка зеленоцветковая                        
Грушанка средняя                                
Грушанка малая                                  
Подъельник обыкновенный                         
